date;Food at Home;Food Away from Home;Housing Costs;Fuel and Energy;Household Furnishing and Utensils;Consumer Electronics;Household Repair and Maintenance;Apparel;Footwear and Accessories;Jewelry and Bijoux;Textiles;Transportation;Pharmaceutical and Optical Products;Healthcare Services;Personal Hygiene;Personal Care;Entertainment and Smoke;Courses, Reading and Stationary;Communication
2020-12-01;18.15;4.78;3.2;8.9;0.36;11.42;9.87;-1.95;-2.14;15.48;7.48;1.03;-2.34;2.64;3.52;1.3;0.56;1.13;3.42
2021-01-01;19.17;4.87;3.06;4.45;1.69;12.14;10.18;-1.38;-2.27;16.24;8.35;1.12;-2.36;2.71;5.76;1.4;0.51;1.1;3.32
2021-02-01;19.42;4.93;3.5;5.98;2.8;12.7;10.34;-0.36;-1.05;17.92;8.92;3.66;-1.79;2.76;4.67;1.35;0.2;-0.09;2.98
2021-03-01;17.57;5.33;3.76;7.51;4.28;15.62;10.03;-0.48;-0.26;16.84;8.56;8.58;-1.79;2.88;3.66;1.42;0.83;-1.19;2.86
2021-04-01;15.54;4.78;3.84;8.34;6.83;17.67;10.46;-0.29;0.49;17.61;8.55;11.47;2.42;2.93;4.54;1.33;1.39;-1.15;3.16
2021-05-01;15.43;5.77;4.1;13.95;9.89;15.83;10.51;1.28;2.04;18.48;8.68;14.94;4.87;3.02;5.16;1.46;1.85;-1.11;3.12
2021-06-01;15.3;6.23;4.67;16.15;10.68;14.22;11.39;2.93;4.24;18.79;8.7;15.05;3.73;3.13;6.64;1.55;2.63;-1.11;2.23
2021-07-01;16.04;6.69;5.38;21.71;11.52;13.06;11.37;4.28;5.03;17.93;8.97;15.9;2.78;1.77;5.69;1.87;3.66;-0.82;1.84
2021-08-01;16.59;7.62;5.19;23.08;13.22;12.44;11.26;6.62;6.55;15.85;9.2;16.63;3.09;1.33;4.16;2.3;4.74;3.03;1.4
2021-09-01;14.66;7.38;5.27;29.75;13.23;12.15;11.51;6.76;6.23;14.47;8.85;17.93;3.12;2.99;5.24;2.52;5.67;3.12;1.31
2021-10-01;13.27;7.83;5.5;31.52;13.29;11.65;10.62;7.64;6.93;13.66;8.3;19.59;4.34;2.92;4.61;2.54;7.25;3.22;1.64
2021-11-01;9.66;6.95;5.77;32.99;13.21;12.65;7.94;8.6;8.37;12.26;8.02;21.97;5.58;2.98;1.82;2.9;8.18;3.26;1.44
2021-12-01;8.24;7.17;6.35;24.36;12.79;12.12;8;10.34;9.84;12.76;8.44;21.03;5.72;2.84;3.14;2.92;7.86;2.81;1.38
2022-01-01;8.64;6.46;6.72;28.09;13.39;13.76;8.43;11.64;11.35;12.58;8.77;20.41;5.8;1.96;4.5;3.03;8.8;2.94;2.42
2022-02-01;10.14;6.48;7.04;28.01;14.29;15.46;9.06;12.71;11.4;9.14;8.92;18.26;6.19;1.11;4.87;3.38;9.54;6.08;2.85
2022-03-01;13.73;6.22;7.09;28.83;14.88;14.3;10.56;14.56;13.04;9.6;9.43;17.37;7.79;0.32;7.79;3.71;10.56;6.8;2.87
